experiment_id,timestamp,protocol,configuration,algorithm,classical_component,pqc_component,network_profile,iteration,latency_us,elapsed_s,user_cpu_s,system_cpu_s,memory_kb,tcp_payload_bytes,ip_packets,success
tls_latency100_classical_20260901_151444_6,2026-09-01T15:14:48+00:00,TLS,Classical,X25519,X25519,None,latency100,6,630056,,,,,,,1
tls_latency100_classical_20260901_151444_7,2026-09-01T15:14:48+00:00,TLS,Classical,X25519,X25519,None,latency100,7,635170,,,,,,,1
tls_latency100_classical_20260901_151444_8,2026-09-01T15:14:49+00:00,TLS,Classical,X25519,X25519,None,latency100,8,630764,,,,,,,1
tls_latency100_classical_20260901_151444_9,2026-09-01T15:14:50+00:00,TLS,Classical,X25519,X25519,None,latency100,9,639487,,,,,,,1
tls_latency100_classical_20260901_151444_10,2026-09-01T15:14:50+00:00,TLS,Classical,X25519,X25519,None,latency100,10,626445,,,,,,,1
tls_latency100_hybrid_20260901_151444_1,2026-09-01T15:14:51+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency100,1,619481,,,,,,,1
tls_latency100_hybrid_20260901_151444_2,2026-09-01T15:14:52+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency100,2,613514,,,,,,,1
tls_latency100_hybrid_20260901_151444_3,2026-09-01T15:14:52+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency100,3,617548,,,,,,,1
tls_latency100_hybrid_20260901_151444_4,2026-09-01T15:14:53+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency100,4,615830,,,,,,,1
tls_latency100_hybrid_20260901_151444_5,2026-09-01T15:14:53+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency100,5,616257,,,,,,,1
tls_latency100_hybrid_20260901_151444_6,2026-09-01T15:14:54+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency100,6,612816,,,,,,,1
tls_latency100_hybrid_20260901_151444_7,2026-09-01T15:14:55+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency100,7,614514,,,,,,,1
tls_latency100_hybrid_20260901_151444_8,2026-09-01T15:14:55+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency100,8,611719,,,,,,,1
tls_latency100_hybrid_20260901_151444_9,2026-09-01T15:14:56+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency100,9,615004,,,,,,,1
tls_latency100_hybrid_20260901_151444_10,2026-09-01T15:14:57+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency100,10,613895,,,,,,,1
ssh_latency100_classical_20260901_151457_1,2026-09-01T15:14:59+00:00,SSH,Classical,X25519,X25519,None,latency100,1,2577018,,,,,,,1
ssh_latency100_classical_20260901_151457_2,2026-09-01T15:15:02+00:00,SSH,Classical,X25519,X25519,None,latency100,2,2583161,,,,,,,1
ssh_latency100_classical_20260901_151457_3,2026-09-01T15:15:04+00:00,SSH,Classical,X25519,X25519,None,latency100,3,2592438,,,,,,,1
ssh_latency100_classical_20260901_151457_4,2026-09-01T15:15:07+00:00,SSH,Classical,X25519,X25519,None,latency100,4,2592848,,,,,,,1
ssh_latency100_classical_20260901_151457_5,2026-09-01T15:15:10+00:00,SSH,Classical,X25519,X25519,None,latency100,5,2589006,,,,,,,1
ssh_latency100_classical_20260901_151457_6,2026-09-01T15:15:12+00:00,SSH,Classical,X25519,X25519,None,latency100,6,2588287,,,,,,,1
ssh_latency100_classical_20260901_151457_7,2026-09-01T15:15:15+00:00,SSH,Classical,X25519,X25519,None,latency100,7,2586974,,,,,,,1
ssh_latency100_classical_20260901_151457_8,2026-09-01T15:15:17+00:00,SSH,Classical,X25519,X25519,None,latency100,8,2587148,,,,,,,1
ssh_latency100_classical_20260901_151457_9,2026-09-01T15:15:20+00:00,SSH,Classical,X25519,X25519,None,latency100,9,2585957,,,,,,,1
ssh_latency100_classical_20260901_151457_10,2026-09-01T15:15:23+00:00,SSH,Classical,X25519,X25519,None,latency100,10,2614102,,,,,,,1
ssh_latency100_hybrid_20260901_151457_1,2026-09-01T15:15:25+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency100,1,2624029,,,,,,,1
ssh_latency100_hybrid_20260901_151457_2,2026-09-01T15:15:28+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency100,2,2616676,,,,,,,1
ssh_latency100_hybrid_20260901_151457_3,2026-09-01T15:15:30+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency100,3,2605592,,,,,,,1
ssh_latency100_hybrid_20260901_151457_4,2026-09-01T15:15:33+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency100,4,2611326,,,,,,,1
ssh_latency100_hybrid_20260901_151457_5,2026-09-01T15:15:36+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency100,5,2615744,,,,,,,1
